parliament_year,chair_id,start,end,person_id
1973,f56cd66185584936af6939701edbba0e,1973-01-10,1973-06-06,i-CA3pFyLdFtkVneaXbdnyV4
1973,f56cd66185584936af6939701edbba0e,1973-10-16,1973-12-15,i-CA3pFyLdFtkVneaXbdnyV4
1973,a0ba03a77de7412b9e23a2429df2d1dd,1973-01-10,1973-06-06,i-CEfqbpA8oaZDiGioappJrM
1973,a0ba03a77de7412b9e23a2429df2d1dd,1973-10-16,1973-12-15,i-CEfqbpA8oaZDiGioappJrM
1973,476a77a0de01460298daf1ba716eb437,1973-01-10,1973-06-06,i-CMGiiZNVocLdbkuKqXgWTG
1973,476a77a0de01460298daf1ba716eb437,1973-10-16,1973-12-15,i-CMGiiZNVocLdbkuKqXgWTG
1973,881e729ebfb74f9bac709631c8a46906,1973-01-10,1973-06-06,i-CQwK55qAkVUZt7PtiHxAxd
1973,881e729ebfb74f9bac709631c8a46906,1973-10-16,1973-12-15,i-CQwK55qAkVUZt7PtiHxAxd
1973,d349f519505e44c08bba5c70af551dcd,1973-01-10,1973-06-06,i-CSGB7BSLWcVycgnbynHD51
1973,d349f519505e44c08bba5c70af551dcd,1973-10-16,1973-12-15,i-CSGB7BSLWcVycgnbynHD51
1973,e465c2c864ef48bd8c0da1094da44768,1973-01-10,1973-06-06,i-CWitrJGVd6NKk1cewd2XaY
1973,e465c2c864ef48bd8c0da1094da44768,1973-10-16,1973-12-15,i-CWitrJGVd6NKk1cewd2XaY
1973,078afadbea754274b81232b99a33f0d7,1973-01-10,1973-06-06,i-CkprnrTz3hpNREdKrcoiAi
1973,078afadbea754274b81232b99a33f0d7,1973-10-16,1973-12-15,i-CkprnrTz3hpNREdKrcoiAi
1973,f31998bda6294b039967678fbec2d67f,1973-01-10,1973-06-06,i-CrKFd8YrUoQVBgUYnwpDY7
1973,f31998bda6294b039967678fbec2d67f,1973-10-16,1973-12-15,i-CrKFd8YrUoQVBgUYnwpDY7
1973,17db6edf2acb4badb721e3af49cf3846,1973-01-10,1973-06-06,i-DA5x4pwHttfr6RN2eeF8q3
1973,17db6edf2acb4badb721e3af49cf3846,1973-10-16,1973-12-15,i-DA5x4pwHttfr6RN2eeF8q3
1973,2a9cccb0f27243c1b8913a020222cc82,1973-01-10,1973-06-06,i-DKX1MP4aaNtFZSpMKXCwY
1973,2a9cccb0f27243c1b8913a020222cc82,1973-10-16,1973-12-15,i-DKX1MP4aaNtFZSpMKXCwY
1973,4c16dcc4e85246c3af22fad26dc82e75,1973-01-10,1973-06-06,i-DMh3exABdyie4FuycG7Nae
1973,4c16dcc4e85246c3af22fad26dc82e75,1973-10-16,1973-12-15,i-DMh3exABdyie4FuycG7Nae
1973,36316054c0874b9cbb708b9cde69a30c,1973-01-10,1973-06-06,i-DNqTcsfB3EXVTxeGMdNa11
1973,36316054c0874b9cbb708b9cde69a30c,1973-10-16,1973-12-15,i-DNqTcsfB3EXVTxeGMdNa11
1973,e5fdac6866c74a729f3c61c2dc3c6ecb,1973-01-10,1973-06-06,i-DYgzAT37kBVShgAsK7YzHQ
1973,e5fdac6866c74a729f3c61c2dc3c6ecb,1973-10-16,1973-12-15,i-DYgzAT37kBVShgAsK7YzHQ
1973,2cff2080fcda40f6b313ec0c46e12d07,1973-01-10,1973-06-06,i-Dqwk6WRPNzjzwmqmA18xc1
1973,2cff2080fcda40f6b313ec0c46e12d07,1973-10-16,1973-12-15,i-Dqwk6WRPNzjzwmqmA18xc1
